Date,Adj Close,COD_release,Weeks_after_COD,Price_Subtracted,
0,05-11-2007,9.235038,1,0,0
1,12-11-2007,8.994237,0,1,-0.240801
2,19-11-2007,8.691011,0,2,-0.544027
3,26-11-2007,9.877166,0,3,0.642128
4,03-12-2007,11.946239,0,4,2.711201
5,10-12-2007,11.915026,0,5,2.679988
6,17-12-2007,12.829164,0,6,3.594126
7,24-12-2007,13.052126,0,7,3.817088
8,31-12-2007,12.414457,0,8,3.179419
9,07-01-2008,12.102314,0,9,2.867276
10,14-01-2008,11.995291,0,10,2.760253
11,21-01-2008,11.790167,0,11,2.555129
12,28-01-2008,11.785708,0,12,2.55067
13,04-02-2008,11.901649,0,13,2.666611
14,11-02-2008,12.035423,0,14,2.800385
15,18-02-2008,12.129067,0,15,2.894029
16,25-02-2008,12.137986,0,16,2.902948
17,03-03-2008,12.1692,0,17,2.934162
18,10-03-2008,12.013129,0,18,2.778091
19,17-03-2008,11.839218,0,19,2.60418
20,24-03-2008,12.1692,0,20,2.934162
21,31-03-2008,12.218252,0,21,2.983214
22,07-04-2008,12.084476,0,22,2.849438
23,14-04-2008,12.258387,0,23,3.023349
24,21-04-2008,12.191498,0,24,2.95646
25,28-04-2008,12.111232,0,25,2.876194
26,05-05-2008,14.108958,0,26,4.87392
27,12-05-2008,14.68866,0,27,5.453622
28,19-05-2008,14.644064,0,28,5.409026
29,26-05-2008,15.049853,0,29,5.814815
30,02-06-2008,15.170254,0,30,5.935216
31,09-06-2008,15.326327,0,31,6.091289
32,16-06-2008,15.986288,0,32,6.75125
33,23-06-2008,15.032017,0,33,5.796979
34,30-06-2008,13.778978,0,34,4.54394
35,07-07-2008,14.51475,0,35,5.279712
36,14-07-2008,16.606123,0,36,7.371085
37,21-07-2008,15.803464,0,37,6.568426
38,28-07-2008,15.71428,0,38,6.479242
39,04-08-2008,14.537045,0,39,5.302007
40,11-08-2008,15.228224,0,40,5.993186
41,18-08-2008,15.152416,0,41,5.917378
42,25-08-2008,14.63515,0,42,5.400112
43,01-09-2008,15.045394,0,43,5.810356
44,08-09-2008,15.616174,0,44,6.381136
45,15-09-2008,15.446723,0,45,6.211685
46,22-09-2008,14.608392,0,46,5.373354
47,29-09-2008,11.183715,0,47,1.948677
48,06-10-2008,10.309709,0,48,1.074671
49,13-10-2008,11.6118,0,49,2.376762
50,20-10-2008,10.425647,0,50,1.190609
51,27-10-2008,11.112366,0,51,1.877328
52,03-11-2008,10.933999,0,52,1.698961
53,10-11-2008,9.462456,1,0,0
54,17-11-2008,9.185987,0,1,-0.276469
55,24-11-2008,10.434567,0,2,0.972111
56,01-12-2008,9.239497,0,3,-0.222959
57,08-12-2008,8.320897,0,4,-1.141559
58,15-12-2008,8.472511,0,5,-0.989945
59,22-12-2008,7.901732,0,6,-1.560724
60,29-12-2008,8.13361,0,7,-1.328846
61,05-01-2009,8.258468,0,8,-1.203988
62,12-01-2009,8.534939,0,9,-0.927517
63,19-01-2009,8.35657,0,10,-1.105886
64,26-01-2009,7.812548,0,11,-1.649908
65,02-02-2009,8.882758,0,12,-0.579698
66,09-02-2009,8.650879,0,13,-0.811577
67,16-02-2009,8.383326,0,14,-1.07913
68,23-02-2009,8.945188,0,15,-0.517268
69,02-03-2009,9.21274,0,16,-0.249716
70,09-03-2009,8.811411,0,17,-0.651045
71,16-03-2009,8.909513,0,18,-0.552943
72,23-03-2009,9.507048,0,19,0.044592
73,30-03-2009,9.908379,0,20,0.445923
74,06-04-2009,9.533804,0,21,0.071348
75,13-04-2009,9.426781,0,22,-0.035675
76,20-04-2009,9.275169,0,23,-0.187287
77,27-04-2009,9.66758,0,24,0.205124
78,04-05-2009,10.53267,0,25,1.070214
79,11-05-2009,10.345382,0,26,0.882926
80,18-05-2009,9.935134,0,27,0.472678
81,25-05-2009,10.773465,0,28,1.311009
82,01-06-2009,11.397756,0,29,1.9353
83,08-06-2009,11.567206,0,30,2.10475
84,15-06-2009,11.48694,0,31,2.024484
85,22-06-2009,11.290734,0,32,1.828278
86,29-06-2009,11.076693,0,33,1.614237
87,06-07-2009,10.068912,0,34,0.606456
88,13-07-2009,10.434567,0,35,0.972111
89,20-07-2009,10.29187,0,36,0.829414
90,27-07-2009,10.211605,0,37,0.749149
91,03-08-2009,11.112366,0,38,1.64991
92,10-08-2009,11.317491,0,39,1.855035
93,17-08-2009,10.889406,0,40,1.42695
94,24-08-2009,10.425647,0,41,0.963191
95,31-08-2009,10.443483,0,42,0.981027
96,07-09-2009,10.550505,0,43,1.088049
97,14-09-2009,10.514831,0,44,1.052375
98,21-09-2009,11.032101,0,45,1.569645
99,28-09-2009,10.58618,0,46,1.123724
100,05-10-2009,11.290734,0,47,1.828278
101,12-10-2009,11.005345,0,48,1.542889
102,19-10-2009,10.880487,0,49,1.418031
103,26-10-2009,9.658664,0,50,0.196208
104,02-11-2009,10.033236,0,51,0.57078
105,09-11-2009,10.425647,1,0,0
106,16-11-2009,10.149177,0,1,-0.27647
107,23-11-2009,10.327544,0,2,-0.098103
108,30-11-2009,9.83703,0,3,-0.588617
109,07-12-2009,9.587315,0,4,-0.838332
110,14-12-2009,9.863787,0,5,-0.56186
111,21-12-2009,10.202686,0,6,-0.222961
112,28-12-2009,9.908379,0,7,-0.517268
113,04-01-2010,9.72109,0,8,-0.704557
114,11-01-2010,9.712173,0,9,-0.713474
115,18-01-2010,9.248413,0,10,-1.177234
116,25-01-2010,9.061129,0,11,-1.364518
117,01-02-2010,9.105721,0,12,-1.319926
118,08-02-2010,9.908379,0,13,-0.517268
119,15-02-2010,9.622989,0,14,-0.802658
120,22-02-2010,9.609571,0,15,-0.816076
121,01-03-2010,9.971169,0,16,-0.454478
122,08-03-2010,10.368935,0,17,-0.056712
123,15-03-2010,10.685336,0,18,0.259689
124,22-03-2010,10.820937,0,19,0.39529
125,29-03-2010,10.775736,0,20,0.350089
126,05-04-2010,11.281979,0,21,0.856332
127,12-04-2010,10.658215,0,22,0.232568
128,19-04-2010,10.486455,0,23,0.060808
129,26-04-2010,10.016373,0,24,-0.409274
130,03-05-2010,9.546289,0,25,-0.879358
131,10-05-2010,9.66381,0,26,-0.761837
132,17-05-2010,9.25701,0,27,-1.168637
133,24-05-2010,9.718051,0,28,-0.707596
134,31-05-2010,9.67285,0,29,-0.752797
135,07-06-2010,9.817491,0,30,-0.608156
136,14-06-2010,10.368935,0,31,-0.056712
137,21-06-2010,9.944054,0,32,-0.481593
138,28-06-2010,9.618609,0,33,-0.807038
139,05-07-2010,10.025411,0,34,-0.400236
140,12-07-2010,10.052533,0,35,-0.373114
141,19-07-2010,10.603974,0,36,0.178327
142,26-07-2010,10.739576,0,37,0.313929
143,02-08-2010,9.935013,0,38,-0.490634
144,09-08-2010,9.826531,0,39,-0.599116
145,16-08-2010,9.998293,0,40,-0.427354
146,23-08-2010,9.718051,0,41,-0.707596
147,30-08-2010,10.133891,0,42,-0.291756
148,06-09-2010,10.061572,0,43,-0.364075
149,13-09-2010,9.781332,0,44,-0.644315
150,20-09-2010,9.76325,0,45,-0.662397
